source_id,ra,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,dr2_radial_velocity,dr2_radial_velocity_error,l,b,ecl_lon
5971164942843785344,251.2342974909916,-37.80957159069849,0.5971726,6.6043906812292255,1.0883583,-3.4216446901870627,1.5840179,-10.777480440667523,1.0397302,1.3305464,133.08734,20.376457,8.98851,20.82173,19.943342,19.075066,1.876863,,,345.41847131062144,5.115365978059026,254.71774034986876
5971125566569898240,251.93482425434533,-37.94696187392079,1.0080829,5.197417951007835,1.4200872,-27.63665403484959,2.0771072,-14.89551724728144,1.4942341,2.3516164,59.43736,19.920818,,,,,,,,345.67165194681456,4.604509412183191,255.3049297204159
5971125566572080128,251.92888381806281,-37.94876295444518,0.5963182,6.9075118312622905,1.2816148,-14.41303770506093,2.1697588,-2.192500249110829,1.2813811,1.4853483,125.33958,20.251102,9.289219,20.643715,36.14483,18.82838,2.0657861,,,345.66724643508735,4.6069393520909605,255.30034928025577
5971165011586252416,251.2176884320012,-37.8013034515354,0.8267866,7.237208172798579,1.6441643,5.853812849691773,1.7590419,-11.609069433498071,1.2500082,3.4895637,108.52224,19.802273,10.589087,20.072428,34.579258,17.817883,3.1834543,,,345.4162361278564,5.130715664737305,254.70311379483516
5971240255071168128,253.17037036635625,-38.097454451089014,0.027423613,5.883983773322889,0.04960503,-11.530649534058131,0.060615983,-21.494036559364854,0.046437092,1.4185917,1571.7544,15.526886,189.04889,17.450775,577.0356,14.211346,1.5372143,,,346.17761046832794,3.7587120793259827,256.32624871090934
5971125669681315200,251.96849814369273,-37.9201726187678,0.027465938,7.022543723799084,0.045491718,-21.51593440511794,0.054981742,44.67183266551001,0.046393238,1.0303398,2336.0574,16.118952,188.09206,17.33447,550.15704,14.924866,1.501023,,,345.70936725183066,4.601381684835945,255.32870121294056
5971036811068112640,251.08080497610828,-38.516937725682425,0.60110885,4.598718870351396,1.3500767,-13.461959537691268,1.4943702,-0.8270028424534406,1.1487106,1.1962075,98.97654,20.63135,,,,,,,,344.8001422768953,4.747362236066333,254.691564225268
5971165217721676032,251.1630191141605,-37.84025615421133,0.4512541,4.867984906451833,0.91633373,-9.938498274752241,1.4730705,-8.983055784483124,0.9313929,1.1539005,167.54901,20.270689,3.8760924,21.373356,6.566826,19.283022,1.3080552,,,345.3583387460595,5.1382658096210525,254.66409712352856
5971036982883803776,251.149263662524,-38.52742332231394,0.72550267,5.57472756210876,1.4478607,-9.671233926790993,2.1702442,-4.4306851250294805,1.5227362,0.97005653,112.24032,20.574814,,,,,,,,344.82711638917345,4.699865563977338,254.74826420878134
5971165320802307968,251.16793947008338,-37.81844736170351,0.8432304,5.773094873894298,1.6842031,-10.702530562753108,2.6923354,-8.335238745909212,1.7057617,1.2009318,64.117516,20.77326,3.9747357,20.689371,9.547498,19.166733,2.631986,,,345.37752205168675,5.149476770551279,254.66507926682434
5971240671686236928,253.19374537920157,-38.07427585153909,0.5170521,9.519704255594299,0.96195555,-23.857288762416218,1.3732028,-7.38052533601978,1.025411,1.102845,108.57472,20.25899,7.6588807,20.724707,25.916706,18.17916,3.3307977,,,346.20726455475005,3.7591055705745386,256.34232815766484
5971165355158721280,251.13118745137936,-37.838516578309225,0.6060509,4.597995661328049,1.2975078,-15.309816791333333,1.5897931,3.901956150446697,1.2030078,1.3567969,116.84922,20.343128,,,,,,,,345.3432674389844,5.158505785018338,254.63801469253218
5971037085939900160,251.15390644720767,-38.506827495121065,0.009480931,5.468955272718088,0.017208975,14.130578024337476,0.021122478,-53.68280317167229,0.016176306,0.91685647,5164.03,12.69524,1306.7998,13.199554,2276.8298,12.03378,1.2298654,-19.773394,0.96227354,344.8451862538252,4.710498581044002,254.74914422167467
